trip,Year,month,gear,light,fleet,bait,hook,hooks,sets,SWO,BUM,lat5,lon5,lat,lon,hbf,habSWO,habBUM,season,area
10.1990.4.1.0.-40,1990,4,10,1,1,2,4,0.5,1,4,0,0,-40,3.5,-40.5,2,3.1846e-08,5.4387e-08,2,N
10.1990.7.1.40.-40,1990,7,10,1,1,2,4,4.5,9,31,0,40,-40,44.5,-42.5,2,3.8024e-08,9.9396e-10,3,N
10.1990.8.1.45.-30,1990,8,10,1,1,2,4,1.15,2,7,0,45,-30,47.5,-33,2,4.29275e-08,4.68385e-10,3,N
10.1991.2.1.20.-55,1991,2,10,1,1,2,4,0.5,1,2,0,20,-55,22.5,-55.5,2,2.4698e-08,6.7876e-08,1,N
10.1992.10.1.50.-35,1992,10,10,1,1,2,4,1.2,2,7,0,50,-35,51.5,-38.5,2,3.0619e-08,5.6354e-12,4,N
10.1993.5.1.30.-70,1993,5,10,1,1,2,4,2.5,5,14,0,30,-70,32.5,-73.5,2,2.5709e-08,2.8516e-08,2,N
10.1998.4.1.30.-75,1998,4,10,1,1,2,4,0.5,1,4,0,30,-75,31.5,-75.5,2,2.4129e-08,2.8864e-08,2,N
100.1990.10.1.40.-65,1990,10,100,3,1,4,4,0.549,1,7,0,40,-65,40.5,-67.5,3,4.0519e-08,1.5792e-09,4,N
100.1991.2.1.25.-70,1991,2,100,3,1,4,4,1.62,6,9,0,25,-70,28.5,-72,3,2.8466e-08,5.55395e-08,1,N
100.1991.3.1.30.-75,1991,3,100,3,1,4,4,0.432,2,3,0,30,-75,30.5,-76.5,3,2.9091e-08,4.9379e-08,1,N
100.1992.7.1.25.-70,1992,7,100,3,1,4,4,0.378,1,2,0,25,-70,29.5,-71.5,3,3.0804e-08,5.5798e-08,3,N
100.1992.8.1.40.-65,1992,8,100,3,1,4,4,2.946,7,23,1,40,-65,40.5,-66.5,3,5.7458e-08,4.0553e-09,3,N
100.1994.11.1.30.-70,1994,11,100,3,1,4,4,0.321,1,1,0,30,-70,32.5,-72.5,3,2.9805e-08,4.2143e-08,4,N
100.1994.12.1.30.-70,1994,12,100,3,1,4,4,0.9,3,5,0,30,-70,32.5,-73.5,3,3.0745e-08,4.6468e-08,4,N
100.1994.5.1.25.-70,1994,5,100,3,1,4,4,1.236,5,12,0,25,-70,27.5,-73.5,3,3.1338e-08,4.4625e-08,2,N
100.1994.9.1.45.-35,1994,9,100,3,1,4,4,1.998,4,35,0,45,-35,48,-37.5,3,4.72935e-08,7.25115e-10,3,N
100.1996.6.1.30.-70,1996,6,100,3,1,4,4,0.6,2,3,0,30,-70,32.5,-73.5,3,2.984e-08,4.0383e-08,2,N
100.1996.7.1.45.-35,1996,7,100,3,1,4,4,1.8,2,20,0,45,-35,45.5,-39.5,3,3.9249e-08,1.8169e-09,3,N
100.1999.1.1.15.-65,1999,1,100,3,1,4,4,0.6,2,4,1,15,-65,17.5,-67.5,3,3.1831e-08,1.3216e-07,1,N
101.1991.3.1.35.-65,1991,3,101,3,1,4,4,0.4,1,2,0,35,-65,37.5,-69.5,4,3.1509e-08,7.5115e-09,1,N
101.1992.1.1.35.-70,1992,1,101,3,1,4,4,0.5,1,2,0,35,-70,36.5,-71.5,4,3.1402e-08,9.8383e-09,1,N
101.1994.1.1.25.-85,1994,1,101,3,1,4,4,0.8,1,5,0,25,-85,27.5,-86.5,4,3.4728e-08,3.0952e-08,1,N
101.1994.12.1.25.-70,1994,12,101,3,1,4,4,0.9,3,5,0,25,-70,28.5,-72.5,4,3.1449e-08,5.9853e-08,4,N
101.1997.10.1.25.-70,1997,10,101,3,1,4,4,5.104,13,28,1,25,-70,29.5,-73.5,4,3.1543e-08,5.578e-08,4,N
